pool_seed,random_seed,pool_group_count,pool_size,method,batch_size,risk_budget_per_item,cost_budget_per_item,selected_candidate_ids,full_batch,full_batch_status,selection_event_count,stop_event_count,selected_count,hits,hit_fraction,total_proxy_cost,proxy_cost_normalized_yield,risk_used,mean_predicted_success,jaccard_to_full_test_selection
2,,86,97,top_score,5,0.34999999999999998,2.3989165637663223,"[""mofsimplify_solvent_test_00015_AVILEY"",""mofsimplify_solvent_test_00257_OKUSUK""]",False,stopped_before_requested_batch,2,1,2,1,0.5,4.2010490000000003,0.238036,1.252291,0.66625999999999996,0
2,,86,97,uncertainty,5,0.34999999999999998,2.3989165637663223,"[""mofsimplify_solvent_test_00186_KIYMIP"",""mofsimplify_solvent_val_00343_ZAHLEC""]",False,stopped_before_requested_batch,2,1,2,1,0.5,2.9709189999999999,0.33659600000000001,1.500292,0.49970599999999998,0.33333333333333331
2,,86,97,cost_aware,5,0.34999999999999998,2.3989165637663223,"[""mofsimplify_solvent_test_00431_ZASJAG"",""mofsimplify_solvent_val_00348_ZUQMAB""]",False,stopped_before_requested_batch,2,1,2,2,1,2.6797149999999998,0.74634800000000001,1.4432739999999999,0.54919899999999999,1
2,,86,97,portfolio_batch,5,0.34999999999999998,2.3989165637663223,"[""mofsimplify_solvent_test_00015_AVILEY"",""mofsimplify_solvent_test_00257_OKUSUK""]",False,stopped_before_requested_batch,2,1,2,1,0.5,4.2010490000000003,0.238036,1.252291,0.66625999999999996,0
2,0,86,97,random_baseline,5,0.34999999999999998,2.3989165637663223,"[""mofsimplify_solvent_test_00221_MOYYIJ"",""mofsimplify_solvent_val_00152_KUKPOX""]",False,stopped_before_requested_batch,2,1,2,0,0,3.0628069999999998,0,1.453816,0.54008999999999996,0
2,1,86,97,random_baseline,5,0.34999999999999998,2.3989165637663223,"[""mofsimplify_solvent_val_00342_ZAGHAT"",""mofsimplify_solvent_val_00177_MOYYEF""]",False,stopped_before_requested_batch,2,1,2,1,0.5,3.2362489999999999,0.309,1.5286770000000001,0.46514,0
2,2,86,97,random_baseline,5,0.34999999999999998,2.3989165637663223,"[""mofsimplify_solvent_test_00244_NIRDAT"",""mofsimplify_solvent_val_00152_KUKPOX""]",False,stopped_before_requested_batch,2,1,2,0,0,3.5416180000000002,0,1.4929889999999999,0.49283700000000003,0
2,3,86,97,random_baseline,5,0.34999999999999998,2.3989165637663223,"[""mofsimplify_solvent_test_00139_YUBQET"",""mofsimplify_solvent_val_00210_OVIWIA""]",False,stopped_before_requested_batch,2,1,2,2,1,3.3436569999999999,0.59814699999999998,1.527941,0.45830900000000002,0
2,4,86,97,random_baseline,5,0.34999999999999998,2.3989165637663223,"[""mofsimplify_solvent_test_00258_OKUTAR"",""mofsimplify_solvent_test_00006_AGUWUV""]",False,stopped_before_requested_batch,2,1,2,0,0,3.4344800000000002,0,1.4382710000000001,0.54924499999999998,0
2,5,86,97,random_baseline,5,0.34999999999999998,2.3989165637663223,"[""mofsimplify_solvent_test_00004_ACOLOV"",""mofsimplify_solvent_test_00138_HOVGIK""]",False,stopped_before_requested_batch,2,1,2,2,1,3.2149100000000002,0.62210100000000002,1.4358569999999999,0.54942299999999999,0
